repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,DeleteEvent,CreateEvent,IssueCommentEvent,IssuesEvent,PullRequestReviewCommentEvent,ReleaseEvent,MemberEvent,total
hyperledger/identus-edge-agent-sdk-kmp,2024-10,0,0,0,0,0,0,2,0,0,0,2
hyperledger/identus-edge-agent-sdk-kmp,2024-11,4,0,0,0,0,0,0,0,0,0,4
hyperledger/identus-edge-agent-sdk-kmp,2025-01,0,0,0,0,0,0,1,0,0,0,1
hyperledger-identus/edge-agent-sdk-ts,2025-02,0,0,4,0,2,3,0,0,0,0,9
hyperledger/toc,2024-10,0,2,3,0,0,1,0,3,0,0,9
hyperledger-identus/mediator,2025-02,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2025-07,1,1,0,0,1,1,0,0,0,0,4
hyperledger-identus/hyperledger-identus,2025-08,2,1,0,1,0,0,0,0,0,0,4
hyperledger-identus/identus,2025-02,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/identus,2025-03,0,0,0,0,0,0,2,0,0,0,2
hyperledger-identus/governance,2025-02,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/governance,2025-04,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-swift,2025-02,0,0,2,0,0,0,0,0,0,0,2
hyperledger-identus/cloud-agent,2025-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/edge-agent-sdk-swift,2025-02,0,0,1,0,0,0,0,0,0,0,1
hyperledger-identus/sdk-kmp,2026-01,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-rust,2024-05,0,0,1,0,0,0,0,0,0,0,1
