repo,month,IssueCommentEvent,PullRequestReviewEvent,PushEvent,PullRequestEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,IssuesEvent,GollumEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,MemberEvent,total
open-quantum-safe/boringssl,2025-04,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-dotnet,2024-09,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-dotnet,2024-11,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-dotnet,2025-01,1,0,2,3,2,1,0,2,0,0,0,0,0,11
open-quantum-safe/liboqs-java,2024-05,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-java,2024-11,1,1,0,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/liboqs-java,2024-12,0,2,0,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/liboqs-java,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-java,2025-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-java,2025-04,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-java,2025-05,2,0,0,0,0,0,0,0,0,0,0,0,0,2
pq-code-package/.github,2024-02,1,0,2,0,0,2,0,1,0,0,0,0,0,6
pq-code-package/.github,2025-05,1,1,1,0,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/ci-containers,2024-04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2024-08,0,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/ci-containers,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-06,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-07,0,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-08,0,0,1,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/ci-containers,2026-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2024-07,1,0,0,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssl,2025-01,0,0,1,2,1,1,0,0,0,0,0,0,0,5
open-quantum-safe/openssl,2026-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/.github,2024-02,0,0,5,0,0,2,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs-go,2024-02,1,0,0,0,0,0,0,2,0,0,0,0,0,3
open-quantum-safe/liboqs-go,2024-11,0,0,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-go,2025-01,2,0,0,0,0,0,0,1,0,0,0,0,0,3
open-quantum-safe/profiling,2025-06,0,0,0,0,3,0,0,0,0,0,0,0,0,3
pq-code-package/slhdsa-c,2025-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/slhdsa-c,2025-07,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/slhdsa-c,2026-05,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/libssh,2025-01,0,0,0,1,0,1,0,0,0,0,0,0,0,2
pq-code-package/mlkem-c-embedded,2024-03,0,2,0,0,0,0,0,0,0,0,0,0,0,2
pq-code-package/pq-code-package-hackathon,2024-03,2,0,0,0,0,0,0,0,0,0,0,0,0,2
PQCA/governance,2025-03,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pq-code-package/documentation,2024-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-c-aarch64,2024-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-libjade,2024-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-native,2025-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1
pq-code-package/mlkem-rust-libcrux,2024-03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
