repo,month,PullRequestEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,MemberEvent,CommitCommentEvent,CreateEvent,ForkEvent,total
openwallet-foundation/mobile-wallet-test-harness,2024-09,1,0,1,0,1,0,0,0,0,0,0,3
openwallet-foundation/owl-agent-test-harness,2024-10,4,9,1,2,6,2,0,0,0,0,0,24
openwallet-foundation/owl-agent-test-harness,2024-11,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/owl-agent-test-harness,2024-12,6,10,1,0,1,0,0,0,0,0,0,18
openwallet-foundation/mobile-wallet-test-harness2,2024-03,8,0,9,0,0,0,0,0,0,1,0,18
openwallet-foundation/mobile-wallet-test-harness2,2024-04,7,0,7,0,0,0,0,0,0,0,0,14
hyperledger/aries-cloudagent-python,2020-02,0,1,0,0,2,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2020-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-05,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-07,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2020-08,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-10,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2020-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-02,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-06,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2021-07,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-08,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-10,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-11,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-01,0,2,0,0,1,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2024-04,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-07,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2022-02,0,6,0,0,0,0,0,0,0,0,0,6
hyperledger/aries-mobile-agent-react-native,2022-08,0,1,0,2,0,0,0,0,0,0,0,3
hyperledger/aries-mobile-agent-react-native,2022-09,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2022-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-03,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-04,0,3,0,0,2,0,0,0,0,0,0,5
hyperledger/aries-mobile-agent-react-native,2023-06,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2023-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-11,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/owl-mobile-wallet-test-harness,2024-10,4,0,2,0,1,0,0,0,0,0,0,7
