repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,ForkEvent,WatchEvent,ReleaseEvent,total
credebl/adeya-sdk,2024-05,2,1,0,1,1,0,0,0,0,0,0,5
credebl/adeya-sdk,2024-06,0,1,0,0,1,0,0,0,0,0,0,2
credebl/adeya-sdk,2024-07,3,1,0,0,1,0,0,0,0,0,0,5
credebl/adeya-sdk,2024-11,3,0,3,0,1,0,0,0,0,0,0,7
credebl/adeya-sdk,2024-12,1,1,0,0,1,0,0,0,0,0,0,3
credebl/adeya-sdk,2025-01,2,6,1,0,0,0,0,0,0,0,0,9
credebl/mediator-agent,2024-01,0,0,1,0,0,0,0,0,0,0,0,1
credebl/mediator-agent,2024-02,0,2,1,1,1,0,0,0,0,0,0,5
credebl/mediator-agent,2024-03,0,1,0,3,0,0,0,0,0,0,0,4
credebl/mediator-agent,2024-05,3,9,0,9,7,0,0,0,0,0,0,28
credebl/mediator-agent,2024-06,1,1,0,0,1,0,0,0,0,0,0,3
credebl/mediator-agent,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
credebl/mediator-agent,2024-12,2,5,5,0,1,5,0,0,0,0,0,18
credebl/mediator-agent,2025-01,1,1,0,0,2,0,0,0,0,0,0,4
credebl/platform,2024-01,0,0,2,0,0,0,0,0,0,0,0,2
credebl/platform,2024-02,0,0,4,0,0,1,0,0,0,0,0,5
credebl/platform,2024-03,1,1,7,0,0,1,0,0,0,0,0,10
credebl/platform,2024-04,1,1,1,0,0,0,0,0,0,0,0,3
credebl/platform,2024-06,0,0,1,0,0,0,0,0,0,0,0,1
credebl/platform,2025-01,0,0,0,2,0,0,0,0,0,0,0,2
credebl/platform,2025-03,1,3,3,0,0,2,0,0,1,0,0,10
credebl/platform,2025-04,4,9,6,1,0,2,1,0,0,0,0,23
credebl/platform,2025-05,0,2,1,0,0,0,0,0,0,0,0,3
credebl/platform,2025-09,3,0,1,0,0,0,0,0,0,0,0,4
credebl/platform,2026-05,0,0,1,0,0,0,0,0,0,0,0,1
credebl/credebl-aries-oca-bundles,2024-01,8,8,0,0,2,0,0,0,0,0,0,18
credebl/credebl-aries-oca-bundles,2024-02,4,4,0,1,2,0,0,0,0,0,0,11
credebl/credebl-aries-oca-bundles,2024-03,7,5,0,0,0,0,0,0,0,0,0,12
credebl/credebl-aries-oca-bundles,2024-04,1,0,0,0,0,0,0,0,0,0,0,1
credebl/credebl-aries-oca-bundles,2024-05,7,3,0,3,2,0,0,0,0,0,0,15
credebl/credebl-aries-oca-bundles,2025-04,3,0,0,0,0,0,0,0,0,0,0,3
credebl/verification-templates,2024-03,2,4,0,2,2,0,0,0,0,1,0,11
credebl/verification-templates,2024-04,5,5,1,1,1,0,0,0,0,0,0,13
credebl/verification-templates,2024-05,3,7,0,2,4,0,0,0,0,0,0,16
credebl/mobile-wallet,2025-02,1,0,1,1,0,0,0,0,0,0,0,3
credebl/mobile-wallet,2025-03,1,9,1,0,0,0,0,0,0,0,0,11
credebl/mobile-wallet,2026-02,4,0,0,0,1,0,0,0,0,0,0,5
credebl/studio,2024-03,2,1,0,1,0,0,0,0,0,0,0,4
credebl/studio,2025-04,1,1,2,1,0,2,0,0,0,0,0,7
openwallet-foundation/didcomm-mediator-credo,2025-01,0,0,2,0,0,2,2,1,1,0,0,8
openwallet-foundation/didcomm-mediator-credo,2025-02,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/didcomm-mediator-credo,2025-05,0,1,1,0,0,0,0,0,0,0,0,2
credebl/governance,2025-02,1,2,0,0,1,0,3,0,0,0,0,7
credebl/webauthn-server,2024-09,0,0,3,0,0,0,0,0,0,0,0,3
credebl/webauthn-server,2024-10,0,0,2,0,0,0,0,0,0,0,0,2
openwallet-foundation/askar-wrapper-javascript,2025-01,0,2,0,0,0,0,2,0,1,0,0,5
trustoverip/tswg-keri-specification,2024-09,0,3,0,0,0,0,0,1,1,0,0,5
hyperledger/indy-vdr,2024-02,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-vdr,2025-06,0,0,0,0,0,0,0,0,2,0,0,2
openwallet-foundation/askar,2024-11,0,0,0,0,0,0,1,1,0,0,0,2
openwallet-foundation/askar,2025-01,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-vcx,2024-04,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-vcx,2024-08,0,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/credo-ts-ext,2024-01,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/credo-ts-ext,2024-02,0,0,0,0,0,0,0,0,1,0,0,1
credebl/.github,2025-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2024-04,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-akrida,2024-08,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-mediator-service,2024-08,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-mobile-agent-react-native,2024-02,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-rfcs,2024-03,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-04,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation-labs/oid4vc-ts,2025-10,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation-labs/tsp,2024-06,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/agent-framework-javascript,2024-01,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2024-02,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/owl-akrida,2024-10,0,0,0,0,0,0,0,0,1,0,0,1
