repo,month,PullRequestEvent,PushEvent,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ReleaseEvent,DeleteEvent,ForkEvent,GollumEvent,CommitCommentEvent,total
hyperledger/fabric-samples,2022-12,2,1,0,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-samples,2023-01,8,1,1,4,2,0,0,0,0,0,0,0,16
hyperledger/fabric-samples,2023-02,0,0,0,5,1,0,0,0,0,0,0,0,6
hyperledger/fabric-samples,2023-03,10,8,1,9,0,0,0,0,0,0,0,0,28
hyperledger/fabric-samples,2023-04,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-samples,2023-05,3,2,0,2,0,0,0,0,0,0,0,0,7
hyperledger/fabric-samples,2024-05,1,0,0,2,0,0,0,0,0,0,0,0,3
hyperledger/fabric-samples,2024-11,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2019-01,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-chaincode-java,2019-09,3,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2019-10,6,0,1,0,6,0,1,0,0,0,0,0,14
hyperledger/fabric-chaincode-java,2019-11,34,14,0,0,2,0,1,1,0,0,0,0,52
hyperledger/fabric-chaincode-java,2019-12,16,7,0,0,6,0,1,1,0,0,0,0,31
hyperledger/fabric-chaincode-java,2020-01,18,7,5,0,16,0,3,2,0,0,0,0,51
hyperledger/fabric-chaincode-java,2020-02,3,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2020-03,11,5,1,0,0,0,2,2,0,0,0,0,21
hyperledger/fabric-chaincode-java,2020-04,9,6,1,0,1,0,1,1,0,0,0,0,19
hyperledger/fabric-chaincode-java,2020-05,23,7,2,0,0,0,1,1,0,0,0,0,34
hyperledger/fabric-chaincode-java,2020-06,2,2,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2020-07,9,4,1,0,0,0,1,1,0,0,0,0,16
hyperledger/fabric-chaincode-java,2020-08,4,1,0,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-java,2020-09,6,2,0,2,2,0,0,0,2,0,0,0,14
hyperledger/fabric-chaincode-java,2020-10,3,3,0,3,0,0,1,1,0,0,0,0,11
hyperledger/fabric-chaincode-java,2020-11,5,3,0,9,4,0,1,1,0,0,0,0,23
hyperledger/fabric-chaincode-java,2020-12,0,0,3,6,3,0,0,0,0,0,0,0,12
hyperledger/fabric-chaincode-java,2021-01,7,5,4,9,2,0,0,0,0,0,0,0,27
hyperledger/fabric-chaincode-java,2021-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2021-03,7,5,1,4,0,0,0,0,0,0,0,0,17
hyperledger/fabric-chaincode-java,2021-05,3,1,0,1,0,0,0,0,0,0,0,0,5
hyperledger/fabric-chaincode-java,2021-06,12,7,9,12,4,0,1,1,0,0,0,0,46
hyperledger/fabric-chaincode-java,2021-07,8,7,2,8,1,0,3,3,1,0,0,0,33
hyperledger/fabric-chaincode-java,2021-08,2,2,0,4,2,0,1,1,0,0,0,0,12
hyperledger/fabric-chaincode-java,2021-09,4,4,1,3,0,1,0,0,0,0,0,0,13
hyperledger/fabric-chaincode-java,2021-11,4,1,1,2,1,1,1,1,0,0,0,0,12
hyperledger/fabric-chaincode-java,2021-12,2,1,0,3,0,1,1,1,0,0,0,0,9
hyperledger/fabric-chaincode-java,2022-01,2,0,5,0,0,2,0,0,0,0,0,0,9
hyperledger/fabric-chaincode-java,2022-02,5,1,2,3,1,0,0,0,0,0,0,0,12
hyperledger/fabric-chaincode-java,2022-03,4,1,5,1,0,4,0,0,0,0,0,0,15
hyperledger/fabric-chaincode-java,2022-05,2,0,0,0,0,1,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2022-06,1,1,0,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-java,2022-07,4,3,3,2,0,1,0,0,0,0,0,0,13
hyperledger/fabric-chaincode-java,2022-08,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2022-09,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2022-10,4,2,2,2,0,1,0,0,0,0,0,0,11
hyperledger/fabric-chaincode-java,2022-11,4,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-java,2022-12,8,2,1,4,1,1,1,1,0,0,0,0,19
hyperledger/fabric-chaincode-java,2023-01,30,7,3,4,0,1,9,9,9,0,0,0,72
hyperledger/fabric-chaincode-java,2023-02,5,4,0,3,0,0,0,0,0,0,0,0,12
hyperledger/fabric-chaincode-java,2023-03,4,2,1,1,0,0,1,0,2,0,0,0,11
hyperledger/fabric-chaincode-java,2024-11,1,1,0,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2019-11,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2019-12,1,0,0,0,0,0,1,0,0,1,0,0,3
hyperledger/fabric,2020-01,1,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2020-02,0,0,1,0,14,0,0,0,0,0,0,0,15
hyperledger/fabric,2020-03,0,0,0,0,3,0,0,0,0,0,0,0,3
hyperledger/fabric,2020-05,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2021-06,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2021-07,1,0,1,3,3,0,0,0,0,0,0,0,8
hyperledger/fabric,2021-09,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2021-10,0,0,4,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric,2021-11,0,0,9,15,14,0,0,0,0,0,0,0,38
hyperledger/fabric,2021-12,1,0,4,16,15,0,0,0,0,0,0,0,36
hyperledger/fabric,2022-01,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2022-02,1,0,4,2,2,1,0,0,0,0,0,0,10
hyperledger/fabric,2022-03,2,0,4,0,0,0,0,0,0,0,0,0,6
hyperledger/fabric,2022-04,1,0,3,13,13,0,0,0,0,0,0,0,30
hyperledger/fabric,2022-05,1,0,5,1,0,0,0,0,0,0,0,0,7
hyperledger/fabric,2022-06,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2022-07,0,0,4,2,2,0,0,0,0,0,0,0,8
hyperledger/fabric,2022-08,0,0,3,7,2,0,0,0,0,0,0,0,12
hyperledger/fabric,2022-09,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2022-10,2,0,6,0,0,0,0,0,0,0,0,0,8
hyperledger/fabric,2022-11,2,0,0,3,0,0,0,0,0,0,0,0,5
hyperledger/fabric,2023-01,0,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2023-02,1,0,3,4,3,1,0,0,0,0,0,0,12
hyperledger/fabric,2023-05,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2020-01,0,0,1,0,3,0,0,0,0,0,0,0,4
hyperledger/fabric-test,2020-09,0,0,0,3,0,0,0,0,0,1,0,0,4
hyperledger/fabric-test,2021-03,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-test,2021-11,2,1,0,1,0,0,0,0,0,0,0,0,4
hyperledger/fabric-test,2022-01,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2022-02,7,0,0,0,0,0,0,0,0,0,0,0,7
hyperledger/fabric-test,2022-03,1,0,0,4,4,0,0,0,0,0,0,0,9
hyperledger/fabric-test,2022-04,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2022-05,0,0,0,1,1,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2022-07,10,3,0,9,0,0,0,0,0,0,0,0,22
hyperledger/fabric-test,2022-09,4,4,0,6,3,0,0,0,0,0,0,0,17
hyperledger/fabric-test,2022-10,2,2,0,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric-test,2022-11,0,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-test,2023-01,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2017-05,10,5,0,0,0,0,0,0,0,1,0,0,16
hyperledger/composer-tools,2017-06,7,4,0,0,0,0,0,0,0,0,0,0,11
hyperledger/composer-tools,2017-07,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2017-08,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2017-11,8,7,0,0,0,0,0,0,1,0,0,0,16
hyperledger/composer-tools,2017-12,2,2,0,0,0,0,0,0,0,0,0,0,4
hyperledger/composer-tools,2018-01,1,1,0,0,3,0,0,0,0,0,0,0,5
hyperledger/composer-tools,2018-02,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2018-03,7,3,1,0,0,1,2,0,1,0,0,1,16
hyperledger/composer-tools,2018-04,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2018-05,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/composer-tools,2018-10,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/microfab,2023-01,20,13,3,0,0,3,4,1,5,1,0,0,50
