repo,month,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,CommitCommentEvent,GollumEvent,WatchEvent,total
open-quantum-safe/liboqs,2022-12,5,3,2,2,1,2,1,0,0,0,0,0,16
open-quantum-safe/liboqs,2023-01,6,4,3,2,2,1,1,1,0,0,0,0,20
open-quantum-safe/liboqs,2023-02,5,2,0,0,0,1,1,0,0,0,0,0,9
open-quantum-safe/liboqs,2023-03,2,5,1,1,1,1,1,0,0,0,0,0,12
open-quantum-safe/liboqs,2023-04,2,0,0,0,0,0,2,0,0,0,0,0,4
open-quantum-safe/liboqs,2023-06,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2023-07,5,4,9,8,0,1,2,0,0,0,0,0,29
open-quantum-safe/liboqs,2023-08,3,4,0,0,1,0,0,0,0,0,0,0,8
open-quantum-safe/liboqs,2023-09,5,3,4,2,1,1,0,0,0,0,0,0,16
open-quantum-safe/liboqs,2023-10,3,0,2,1,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2023-11,2,0,3,2,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2023-12,4,10,1,0,8,5,1,2,0,0,0,0,31
open-quantum-safe/liboqs,2024-01,3,19,5,1,0,1,0,0,0,0,0,0,29
open-quantum-safe/liboqs,2024-02,2,10,3,2,3,1,0,1,0,0,0,0,22
open-quantum-safe/liboqs,2024-03,8,20,4,1,2,2,2,0,0,0,0,0,39
open-quantum-safe/liboqs,2024-04,5,0,0,0,0,0,2,0,0,0,0,0,7
open-quantum-safe/liboqs,2024-05,9,22,16,12,1,1,0,2,0,0,0,0,63
open-quantum-safe/liboqs,2024-06,2,1,0,0,0,0,1,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-07,10,16,3,2,5,3,1,3,0,0,0,0,43
open-quantum-safe/liboqs,2024-08,5,9,4,3,4,2,3,2,0,0,0,0,32
open-quantum-safe/liboqs,2024-09,4,1,0,0,1,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2024-10,7,4,5,3,4,2,2,2,0,0,0,0,29
open-quantum-safe/liboqs,2024-11,11,48,17,14,1,0,2,0,0,0,0,0,93
