repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,CreateEvent,DeleteEvent,IssuesEvent,ReleaseEvent,WatchEvent,total
hyperledger/firefly-evmconnect,2024-05,0,6,6,0,1,0,0,0,0,0,13
hyperledger/firefly-evmconnect,2024-06,6,1,1,3,1,2,1,0,0,0,15
hyperledger/firefly-evmconnect,2024-08,0,10,5,0,0,0,0,0,0,0,15
hyperledger/firefly-evmconnect,2024-09,0,1,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2024-11,0,5,3,0,0,0,0,0,0,0,8
hyperledger/firefly-evmconnect,2025-06,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly-evmconnect,2025-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-10,0,7,5,0,0,0,0,0,0,0,12
hyperledger/firefly-evmconnect,2026-01,23,0,0,1,0,2,0,0,0,0,26
hyperledger/firefly-evmconnect,2026-02,1,1,3,0,1,0,0,0,0,0,6
hyperledger/firefly-evmconnect,2026-03,2,0,0,0,0,1,0,0,0,0,3
hyperledger/firefly-evmconnect,2026-04,1,2,0,0,0,0,0,0,0,0,3
hyperledger/firefly-evmconnect,2026-05,2,0,0,0,0,2,0,0,0,0,4
hyperledger/firefly-transaction-manager,2024-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2024-02,2,0,0,2,0,3,0,0,1,0,8
hyperledger/firefly-transaction-manager,2024-03,0,1,0,1,1,1,0,0,0,0,4
hyperledger/firefly-transaction-manager,2024-05,0,1,1,0,0,0,0,0,0,0,2
hyperledger/firefly-transaction-manager,2024-06,18,11,6,5,1,2,1,0,1,0,45
hyperledger/firefly-transaction-manager,2024-09,0,1,1,1,0,1,1,0,0,0,5
hyperledger/firefly-transaction-manager,2025-02,0,5,4,0,0,0,0,0,0,0,9
hyperledger/firefly-transaction-manager,2025-04,0,0,0,0,0,1,0,0,1,0,2
hyperledger/firefly-transaction-manager,2025-06,5,3,3,1,2,2,0,0,0,0,16
hyperledger/firefly-transaction-manager,2025-07,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly-transaction-manager,2025-08,0,1,5,0,0,0,0,0,0,0,6
hyperledger/firefly-transaction-manager,2025-09,0,3,2,0,0,0,0,0,0,0,5
hyperledger/firefly-transaction-manager,2025-10,4,0,0,0,0,0,0,0,1,0,5
hyperledger/firefly-transaction-manager,2025-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2026-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2026-04,0,2,2,0,0,0,0,0,0,0,4
hyperledger/firefly-cli,2024-02,2,2,0,2,0,0,0,0,0,0,6
hyperledger/firefly-cli,2024-03,0,1,0,1,4,0,1,1,0,0,8
hyperledger/firefly-cli,2024-04,1,1,0,1,0,0,0,1,0,0,4
hyperledger/firefly-cli,2024-06,0,5,6,0,0,0,0,0,0,0,11
hyperledger/firefly-cli,2024-07,3,6,1,5,2,2,2,1,0,0,22
hyperledger/firefly-cli,2024-10,1,1,0,1,0,0,0,0,0,0,3
hyperledger/firefly-cli,2025-03,1,2,0,1,5,0,0,0,0,0,9
hyperledger/firefly-fabconnect,2024-05,3,4,1,3,0,0,1,0,0,0,12
hyperledger/firefly-ethconnect,2024-01,3,3,0,3,0,0,0,0,0,0,9
hyperledger/firefly-tokens-erc1155,2024-03,1,1,0,1,0,0,0,0,0,0,3
hyperledger/firefly-tokens-erc1155,2024-07,2,2,0,2,0,0,0,0,0,0,6
hyperledger/firefly-tokens-erc20-erc721,2024-03,1,2,0,1,0,0,0,0,0,0,4
hyperledger/firefly-tokens-erc20-erc721,2024-07,1,2,0,1,0,0,1,0,0,0,5
hyperledger/firefly-samples,2024-07,2,2,0,2,0,0,0,0,0,0,6
hyperledger-labs/zeto,2024-07,0,2,0,0,0,0,0,0,0,0,2
hyperledger-labs/zeto,2024-09,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/zeto,2024-11,0,0,0,1,0,1,0,0,0,0,2
hyperledger/firefly-helm-charts,2024-07,1,1,0,1,0,0,0,0,0,0,3
hyperledger/firefly-helm-charts,2025-03,0,2,0,0,0,0,0,0,0,0,2
hyperledger/firefly-fir,2024-04,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly-fir,2024-05,0,0,0,1,0,1,0,0,0,0,2
hyperledger/firefly-ui,2024-07,1,1,0,1,0,0,0,0,0,0,3
hyperledger/firefly-cordaconnect,2024-07,1,1,0,0,0,0,0,0,0,0,2
hyperledger/besu,2024-06,0,0,0,0,0,0,0,0,0,1,1
hyperledger/firefly-sandbox,2024-07,0,1,0,0,0,0,0,0,0,0,1
