repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/aries-acapy-plugin-toolbox,2022-05,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugin-toolbox,2022-07,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugin-toolbox,2022-08,1,2,4,2,1,0,2,0,1,0,0,0,13
hyperledger/aries-acapy-plugin-toolbox,2022-09,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugin-toolbox,2022-10,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugin-toolbox,2023-01,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugin-toolbox,2023-02,3,3,0,0,0,0,1,0,0,0,0,0,7
hyperledger/aries-acapy-plugin-toolbox,2023-03,0,4,0,5,0,0,1,0,0,0,0,0,10
hyperledger/aries-acapy-plugin-toolbox,2023-06,1,1,1,1,0,1,0,0,0,0,0,0,5
hyperledger/aries-acapy-plugin-toolbox,2023-07,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugin-toolbox,2023-09,0,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger/aries-staticagent-python,2019-06,1,2,0,0,0,2,1,3,2,1,1,0,13
hyperledger/aries-staticagent-python,2019-07,1,4,0,2,0,0,0,1,1,0,0,0,9
hyperledger/aries-staticagent-python,2019-08,0,4,0,0,0,0,0,1,1,0,0,0,6
hyperledger/aries-staticagent-python,2019-10,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-staticagent-python,2019-11,2,37,0,18,2,1,0,6,5,0,0,0,71
hyperledger/aries-staticagent-python,2020-01,3,13,0,5,0,1,1,2,1,0,0,0,26
hyperledger/aries-staticagent-python,2020-02,0,4,0,2,0,0,0,0,0,0,0,0,6
hyperledger/aries-staticagent-python,2020-03,1,4,0,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-staticagent-python,2020-07,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-staticagent-python,2020-09,1,10,0,5,0,2,0,1,1,0,0,0,20
hyperledger/aries-staticagent-python,2021-02,0,1,0,1,0,1,1,1,0,0,0,0,5
hyperledger/aries-staticagent-python,2021-05,0,4,0,4,0,1,2,0,0,0,0,0,11
hyperledger/aries-staticagent-python,2021-06,0,6,0,3,0,0,0,1,1,0,0,0,11
hyperledger/aries-staticagent-python,2021-07,0,5,0,5,0,0,3,3,2,0,0,0,18
hyperledger/aries-staticagent-python,2021-09,0,13,1,8,1,0,0,1,1,0,0,0,25
hyperledger/aries-staticagent-python,2021-10,0,0,0,5,0,0,0,0,0,0,0,0,5
hyperledger/aries-staticagent-python,2021-11,0,10,0,5,0,0,0,0,0,0,0,0,15
hyperledger/aries-staticagent-python,2022-08,0,10,1,7,0,0,3,0,0,0,0,0,21
hyperledger/aries-staticagent-python,2022-10,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-staticagent-python,2023-06,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-staticagent-python,2024-08,4,5,0,1,0,3,0,0,0,0,0,0,13
