repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PushEvent,PullRequestEvent,IssuesEvent,CreateEvent,ForkEvent,ReleaseEvent,DeleteEvent,WatchEvent,total
hyperledger/iroha-python,2021-07,14,7,9,0,0,0,0,0,0,0,0,30
hyperledger/iroha-python,2021-08,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/iroha-python,2021-09,7,4,2,0,1,0,0,1,0,0,0,15
hyperledger/iroha-python,2021-11,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/iroha-python,2021-12,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/iroha-python,2022-02,0,0,3,2,4,0,0,1,0,0,0,10
hyperledger/iroha-python,2022-03,0,0,1,1,1,0,0,0,1,0,0,4
hyperledger/iroha-python,2022-06,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger/iroha-python,2022-07,1,1,4,1,3,0,0,0,0,0,0,10
hyperledger/iroha-python,2022-08,5,7,7,2,8,1,1,0,1,0,0,32
hyperledger/iroha-python,2023-08,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/iroha-python,2023-11,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/iroha-python,2024-02,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/iroha-python,2024-04,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/cactus,2021-08,29,17,0,0,0,0,0,0,0,0,0,46
hyperledger/cactus,2022-08,24,9,2,0,0,0,0,0,0,0,0,35
hyperledger/cactus,2022-10,1,2,1,0,0,0,0,0,0,0,0,4
hyperledger/cactus,2022-11,1,2,4,0,0,0,0,0,0,0,0,7
hyperledger/iroha-java,2021-08,14,4,0,0,0,0,0,0,0,0,0,18
hyperledger/iroha-java,2023-02,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/iroha-javascript,2021-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2021-08,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2021-09,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2022-07,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/iroha-javascript,2022-09,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2023-12,0,3,1,0,0,0,0,0,0,0,0,4
hyperledger/iroha-javascript,2024-02,0,0,2,0,2,0,0,1,0,0,0,5
hyperledger/iroha-javascript,2024-08,0,0,1,0,0,0,0,0,1,0,0,2
hyperledger/toc,2023-11,1,2,0,0,0,0,0,0,0,0,0,3
hyperledger/cacti,2023-02,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/iroha-2-docs,2023-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/iroha-deploy,2021-09,0,0,0,0,0,0,0,0,0,0,1,1
