repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger-identus/apollo,2025-03,10,4,5,1,2,2,4,3,0,0,0,0,31
hyperledger-identus/apollo,2025-06,7,3,0,5,0,0,0,0,0,0,0,0,15
hyperledger-identus/apollo,2025-07,12,1,0,3,2,0,0,0,0,0,0,0,18
hyperledger-identus/apollo,2026-03,1,0,0,1,1,0,0,0,0,0,0,0,3
hyperledger-identus/apollo,2026-05,4,0,0,0,1,0,0,0,0,0,0,0,5
hyperledger-identus/sdk-ts,2025-02,1,0,2,1,1,0,0,0,0,0,0,0,5
hyperledger-identus/sdk-ts,2025-03,13,3,3,2,3,1,2,1,0,0,0,0,28
hyperledger-identus/sdk-ts,2025-04,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger-identus/sdk-ts,2025-05,1,3,1,1,0,3,0,0,0,0,0,0,9
hyperledger-identus/sdk-ts,2025-06,0,1,0,0,1,6,0,0,0,0,0,0,8
hyperledger-identus/sdk-ts,2025-09,0,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger-identus/sdk-ts,2025-10,0,2,0,0,0,0,0,0,0,0,1,0,3
hyperledger-identus/sdk-ts,2026-03,1,0,0,0,1,0,0,0,0,0,0,0,2
hyperledger-identus/sdk-ts,2026-04,5,1,0,0,0,1,0,0,0,0,0,0,7
hyperledger-identus/sdk-ts,2026-05,0,0,0,1,0,2,0,0,0,0,0,0,3
hyperledger-identus/mediator,2025-02,3,6,19,1,2,1,0,1,0,0,0,0,33
hyperledger-identus/mediator,2025-03,0,0,0,0,0,1,0,1,0,0,0,0,2
hyperledger-identus/mediator,2025-06,0,0,0,0,0,8,0,2,0,0,0,0,10
hyperledger-identus/mediator,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-identus/mediator,2026-03,1,0,0,1,1,0,0,0,0,0,0,0,3
hyperledger-identus/mediator,2026-04,4,0,1,1,1,0,0,0,0,0,0,0,7
hyperledger-identus/mediator,2026-05,3,0,0,2,0,0,0,1,0,0,0,0,6
hyperledger/identus,2024-04,0,11,0,0,0,2,2,0,0,0,0,0,15
hyperledger/identus,2024-06,0,3,0,0,0,0,2,0,0,0,0,0,5
hyperledger/identus,2024-07,0,8,0,0,0,0,7,0,0,0,0,0,15
hyperledger/identus,2024-08,1,0,2,0,1,0,0,0,0,0,0,0,4
hyperledger/identus,2024-09,1,0,2,1,2,0,0,0,0,0,0,0,6
