repo,month,IssueCommentEvent,PullRequestEvent,CreateEvent,PushEvent,DeleteEvent,IssuesEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,total
hyperledger-identus/prism-vdr-driver,2026-05,2,1,1,0,1,0,0,0,5
hiero-ledger/hiero-did-sdk-python,2025-05,7,0,0,0,0,0,0,0,7
hiero-ledger/hiero-did-sdk-python,2025-06,3,0,0,0,0,0,0,0,3
hiero-ledger/hiero-did-sdk-python,2025-10,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-did-sdk-python,2025-12,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-did-sdk-python,2026-03,1,0,0,0,0,0,0,0,1
hyperledger-identus/cloud-agent,2026-03,0,0,2,0,0,0,0,0,2
hyperledger-identus/cloud-agent,2026-04,0,2,2,0,0,0,0,0,4
hyperledger-identus/cloud-agent,2026-05,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero,2025-03,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero,2025-06,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2025-08,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2025-09,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero,2026-03,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-01,0,2,1,1,1,0,0,0,5
hiero-ledger/tsc,2025-07,2,0,0,0,0,0,0,0,2
hyperledger/firefly-tezosconnect,2025-02,0,0,0,0,0,0,1,1,2
hyperledger/governance,2025-02,0,1,1,0,0,0,0,0,2
LFDT-Minokawa/governance,2026-03,0,0,0,0,0,1,0,0,1
LFDT-Smoot/governance,2026-03,0,0,0,0,0,1,0,0,1
LFDT-web3j/governance,2026-02,0,0,0,0,0,1,0,0,1
anoncreds/governance,2026-02,0,0,0,0,0,1,0,0,1
hyperledger-identus/governance,2026-02,0,0,0,0,0,1,0,0,1
hyperledger-indy/governance,2026-04,0,0,0,0,0,1,0,0,1
hyperledger-solang/governance,2026-05,0,0,0,0,0,1,0,0,1
hyperledger/firefly,2025-02,0,0,1,0,0,0,0,0,1
