repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,IssuesEvent,WatchEvent,ForkEvent,total
hyperledger/aries-vcx,2023-03,23,7,17,8,4,3,1,0,0,0,63
hyperledger/aries-vcx,2023-04,24,8,10,1,2,2,0,0,0,0,47
hyperledger/aries-vcx,2023-05,126,72,79,11,9,2,0,2,0,0,301
hyperledger/aries-vcx,2023-06,90,72,76,8,9,2,1,2,0,0,260
hyperledger/aries-vcx,2023-07,42,9,11,7,2,4,0,0,0,0,75
hyperledger/aries-vcx,2023-08,103,37,54,20,8,11,3,2,0,0,238
hyperledger/aries-vcx,2023-09,73,15,27,6,6,1,2,0,0,0,130
hyperledger/aries-vcx,2023-10,3,4,15,2,0,2,0,0,0,0,26
hyperledger/aries-vcx,2023-11,1,21,27,1,0,1,3,0,0,0,54
hyperledger/aries-vcx,2023-12,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-vcx,2024-01,61,75,84,6,4,1,4,2,0,0,237
hyperledger/aries-vcx,2024-02,133,55,46,11,8,4,1,1,0,0,259
hyperledger/aries-vcx,2024-03,0,2,3,0,0,0,0,0,0,0,5
hyperledger/besu,2025-02,0,0,0,1,0,0,1,0,0,0,2
hyperledger/besu,2025-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2025-04,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu,2025-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu,2025-06,0,0,0,1,0,0,2,0,0,0,3
hyperledger/besu,2025-07,0,2,1,1,0,0,0,0,0,0,4
hyperledger/besu,2025-08,0,18,18,2,0,0,7,0,0,0,45
hyperledger/besu,2025-09,0,21,21,1,0,0,1,0,0,0,44
hyperledger/besu,2025-10,0,6,7,4,0,0,0,0,0,0,17
hyperledger/besu,2025-11,0,5,7,9,0,0,1,0,0,0,22
hyperledger/besu,2025-12,0,8,14,5,0,0,0,0,0,0,27
hyperledger/besu,2026-01,0,16,8,3,0,0,4,2,0,0,33
hyperledger/besu,2026-02,0,2,2,3,0,0,2,0,0,0,9
hyperledger/besu,2026-03,0,1,0,1,0,0,0,0,0,0,2
hyperledger/aries-framework-rs,2020-10,34,6,12,9,3,6,3,5,0,0,78
hyperledger/indy-sdk,2019-11,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-sdk,2019-12,0,0,0,0,0,0,0,0,0,1,1
hyperledger/indy-sdk,2020-02,0,0,0,2,0,0,0,0,0,0,2
hyperledger/indy-sdk,2020-03,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-sdk,2020-04,0,0,0,2,0,0,1,0,0,0,3
hyperledger/indy-sdk,2020-05,1,9,0,5,0,0,4,0,0,0,19
hyperledger/indy-sdk,2020-06,3,0,0,3,1,0,1,0,0,0,8
hyperledger/indy-sdk,2020-07,0,0,0,2,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-01,0,0,0,7,3,2,0,0,0,0,12
hyperledger/indy-sdk,2021-03,0,0,0,2,1,0,1,0,0,0,4
hyperledger/indy-sdk,2021-04,0,0,0,0,0,0,3,0,0,0,3
hyperledger/indy-sdk,2021-05,0,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-sdk,2021-06,0,0,0,2,1,0,0,0,0,0,3
hyperledger/indy-sdk,2021-07,0,0,0,2,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2021-05,0,0,0,1,0,0,0,0,0,1,2
hyperledger/aries-agent-test-harness,2021-07,0,2,3,0,0,0,7,0,0,0,12
hyperledger/aries-agent-test-harness,2021-08,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-agent-test-harness,2021-10,0,1,1,0,0,0,3,0,0,0,5
hyperledger/aries-agent-test-harness,2021-11,0,4,4,4,0,0,1,0,0,0,13
hyperledger/aries-agent-test-harness,2021-12,0,0,0,2,0,0,2,0,0,0,4
hyperledger/aries-agent-test-harness,2022-01,0,0,0,3,0,0,0,0,0,0,3
hyperledger/aries-agent-test-harness,2022-09,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2022-10,0,1,1,1,0,0,6,0,0,0,9
hyperledger/aries-agent-test-harness,2022-11,0,0,0,1,0,0,2,0,0,0,3
hyperledger/aries-agent-test-harness,2023-02,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2023-08,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2024-02,0,0,0,1,0,0,0,0,0,0,1
besu-eth/besu,2026-03,0,1,0,0,0,0,0,0,0,0,1
besu-eth/besu,2026-04,1,7,1,3,0,0,0,0,0,0,12
besu-eth/besu,2026-05,6,1,1,2,0,0,0,0,0,0,10
hyperledger/indy-vdr,2020-04,0,0,0,0,0,0,0,0,1,0,1
hyperledger/indy-vdr,2023-05,0,0,0,2,0,0,0,0,0,1,3
hyperledger/anoncreds-rs,2023-02,0,0,0,0,0,0,0,0,1,0,1
hyperledger/anoncreds-rs,2024-01,0,0,0,0,0,0,0,0,0,1,1
hyperledger/fabric,2020-07,0,0,0,0,0,0,0,0,1,1,2
LF-Decentralized-Trust-labs/paladin,2024-11,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-cloudagent-python,2019-12,0,0,0,0,0,0,0,0,0,1,1
hyperledger/aries-endorser-service,2023-06,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-framework-javascript,2022-10,0,0,0,0,0,0,0,0,0,1,1
hyperledger/indy-node,2019-11,0,0,0,0,0,0,0,0,1,0,1
