repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PushEvent,CreateEvent,DeleteEvent,ForkEvent,ReleaseEvent,total
hyperledger/iroha-2-docs,2022-08,4,2,0,1,0,0,0,0,0,0,7
hyperledger/iroha-2-docs,2022-09,16,13,6,2,0,0,1,0,0,0,38
hyperledger/iroha-2-docs,2022-10,0,0,1,0,0,1,0,0,0,0,2
hyperledger/iroha-2-docs,2022-11,0,0,1,0,1,0,0,0,0,0,2
hyperledger/iroha-2-docs,2022-12,5,4,5,0,1,1,0,0,0,0,16
hyperledger/iroha-2-docs,2023-01,3,2,1,0,0,1,0,0,0,0,7
hyperledger/iroha-2-docs,2023-02,3,2,4,0,2,1,1,1,0,0,14
hyperledger/iroha-2-docs,2023-03,11,9,10,9,4,2,2,1,0,0,48
hyperledger/iroha-2-docs,2023-04,6,2,9,2,7,4,0,0,0,0,30
hyperledger/iroha-2-docs,2023-05,1,0,2,0,2,2,0,0,0,0,7
hyperledger/iroha-2-docs,2023-06,0,0,0,1,1,0,0,0,0,0,2
hyperledger/iroha-2-docs,2023-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/iroha-2-docs,2023-08,4,1,1,2,1,1,0,0,0,0,10
hyperledger/iroha-2-docs,2023-09,18,18,11,12,5,6,2,2,0,0,74
hyperledger/iroha-2-docs,2023-10,20,31,5,5,3,3,0,1,0,0,68
hyperledger/iroha-2-docs,2023-11,4,7,5,0,1,2,0,0,0,0,19
hyperledger/iroha-2-docs,2023-12,1,1,1,1,0,1,0,0,0,0,5
hyperledger/iroha-2-docs,2024-01,4,16,0,1,0,0,0,0,0,0,21
hyperledger/iroha-2-docs,2024-02,8,6,2,0,0,1,0,0,0,0,17
hyperledger/iroha-2-docs,2024-03,3,17,2,4,1,0,0,0,0,0,27
hyperledger/iroha-2-docs,2024-04,2,1,0,0,0,0,0,0,0,0,3
hyperledger/iroha-2-docs,2024-05,7,6,0,1,0,0,0,0,0,0,14
hyperledger/iroha-2-docs,2024-06,0,0,0,2,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2024-08,1,1,0,0,0,0,0,0,0,0,2
hyperledger/iroha-2-docs,2024-09,1,1,0,1,0,0,0,0,0,0,3
hyperledger-iroha/iroha,2024-10,12,4,1,0,0,0,0,0,0,0,17
hyperledger-iroha/iroha,2024-11,13,6,2,7,2,2,0,0,0,0,32
hyperledger-iroha/iroha,2024-12,6,10,0,2,0,0,0,0,0,0,18
hyperledger-iroha/iroha,2025-01,2,0,0,0,0,0,0,0,0,0,2
hyperledger-iroha/iroha,2025-02,8,7,5,6,3,2,0,0,0,0,31
hyperledger-iroha/iroha,2025-03,17,15,9,26,9,2,0,0,0,0,78
hyperledger-iroha/iroha,2025-04,22,17,12,16,12,6,0,0,0,0,85
hyperledger-iroha/iroha,2025-05,33,31,21,15,16,8,1,0,0,0,125
hyperledger-iroha/iroha,2025-06,16,14,13,2,5,4,0,0,0,0,54
hyperledger-iroha/iroha,2025-07,17,13,12,5,1,5,0,0,0,0,53
hyperledger-iroha/iroha,2025-08,5,4,2,3,3,1,1,0,0,0,19
hyperledger-iroha/iroha,2025-09,3,0,4,0,0,0,0,0,0,0,7
hyperledger-iroha/iroha,2025-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2021-06,0,0,2,0,0,0,0,0,1,0,3
hyperledger/iroha-javascript,2021-07,0,0,5,4,4,2,0,0,0,0,15
hyperledger/iroha-javascript,2021-08,0,0,2,4,4,1,0,0,1,0,12
hyperledger/iroha-javascript,2021-09,0,0,10,1,2,5,1,0,1,0,20
hyperledger/iroha-javascript,2021-11,0,0,2,0,0,1,0,0,0,0,3
hyperledger/iroha-javascript,2021-12,0,0,5,0,0,2,3,0,2,0,12
hyperledger/iroha-javascript,2022-01,0,0,1,0,0,1,0,0,0,0,2
hyperledger/iroha-javascript,2022-03,0,0,7,1,0,3,0,0,0,0,11
hyperledger/iroha-javascript,2022-04,0,0,4,0,3,2,0,1,0,0,10
hyperledger/iroha-javascript,2022-05,0,0,5,2,7,2,0,0,0,0,16
hyperledger/iroha-javascript,2022-06,0,0,2,0,0,1,0,0,0,0,3
hyperledger/iroha-javascript,2022-07,2,5,4,0,0,2,0,0,0,0,13
hyperledger/iroha-javascript,2022-08,5,5,10,5,2,5,0,0,0,0,32
hyperledger/iroha-javascript,2022-09,3,4,4,4,2,1,0,0,0,0,18
hyperledger/iroha-javascript,2022-10,0,0,3,3,2,1,0,0,0,0,9
hyperledger/iroha-javascript,2022-11,1,1,1,0,0,1,0,0,0,0,4
hyperledger/iroha-javascript,2022-12,0,0,2,0,0,0,0,0,0,0,2
hyperledger/iroha-javascript,2023-01,0,0,4,0,0,2,0,0,0,0,6
hyperledger/iroha-javascript,2023-02,7,7,2,2,2,1,0,0,0,0,21
hyperledger/iroha-javascript,2023-03,2,1,4,2,6,2,0,0,0,0,17
hyperledger/iroha-javascript,2023-04,4,1,3,0,0,2,0,0,0,0,10
hyperledger/iroha-javascript,2023-05,0,0,1,2,5,0,0,0,0,0,8
hyperledger/iroha-javascript,2023-07,1,0,2,1,0,1,0,0,0,0,5
hyperledger/iroha-javascript,2023-09,0,0,0,1,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/iroha-javascript,2023-11,0,0,6,4,2,2,0,0,0,0,14
hyperledger/iroha-javascript,2023-12,1,0,0,3,0,0,0,0,0,0,4
hyperledger/iroha-javascript,2024-01,0,0,0,1,3,0,0,0,0,0,4
hyperledger/iroha-javascript,2024-02,0,0,0,1,1,0,0,0,0,0,2
hyperledger/iroha-javascript,2024-03,1,0,4,4,3,2,0,0,0,0,14
hyperledger/iroha-javascript,2024-05,0,0,0,2,1,0,0,0,0,0,3
hyperledger/iroha-javascript,2024-06,0,0,0,1,1,0,0,0,0,0,2
hyperledger/iroha-javascript,2024-07,2,6,0,3,0,0,0,0,0,0,11
hyperledger/iroha-javascript,2024-08,15,21,1,0,1,0,0,0,0,0,38
hyperledger/iroha-javascript,2024-09,1,0,1,0,0,1,0,0,0,0,3
hyperledger-iroha/iroha-javascript,2024-12,0,0,0,0,0,0,1,0,0,0,1
hyperledger-iroha/iroha-javascript,2025-01,0,0,8,4,0,3,0,0,0,0,15
hyperledger-iroha/iroha-javascript,2025-02,0,0,34,23,32,14,4,0,0,3,110
hyperledger-iroha/iroha-javascript,2025-03,0,0,16,3,11,7,2,0,0,2,41
hyperledger-iroha/iroha-javascript,2025-04,0,0,4,0,1,2,1,0,0,1,9
hyperledger-iroha/iroha-javascript,2025-05,0,0,11,1,5,4,1,0,0,1,23
hyperledger-iroha/iroha-javascript,2025-10,0,0,7,0,0,4,0,0,0,0,11
hyperledger/iroha-rfcs,2023-09,3,2,1,2,0,0,0,0,1,0,9
hyperledger/iroha-rfcs,2023-10,25,37,5,1,0,2,0,0,0,0,70
hyperledger/iroha-rfcs,2023-11,0,0,2,1,0,1,0,0,0,0,4
hyperledger-iroha/iroha-2-docs,2024-10,1,1,0,0,0,0,0,0,0,0,2
hyperledger-iroha/iroha-2-docs,2024-11,0,0,1,0,0,1,0,0,0,0,2
hyperledger-iroha/iroha-2-docs,2025-02,0,0,1,0,1,3,1,0,0,0,6
hyperledger-iroha/iroha-2-docs,2025-03,3,5,0,0,0,0,0,0,0,0,8
hyperledger-iroha/iroha-2-docs,2025-04,5,5,3,2,2,6,2,0,0,0,25
hyperledger-iroha/iroha-2-docs,2025-05,0,0,1,1,1,2,0,0,0,0,5
hyperledger-iroha/hub-chain-poc,2025-08,0,0,3,1,0,6,4,0,0,0,14
hyperledger-iroha/hub-chain-poc,2025-09,4,2,0,0,0,1,0,0,0,0,7
hyperledger-iroha/hub-chain-poc,2025-10,0,0,0,1,0,0,0,0,0,0,1
hyperledger/iroha-2-examples,2023-09,2,1,1,1,1,2,0,0,1,0,9
hyperledger/iroha-2-examples,2023-12,1,2,0,0,0,0,0,0,0,0,3
hyperledger/iroha-2-examples,2024-06,2,2,0,0,0,0,0,0,0,0,4
hyperledger-iroha/iroha-rfcs,2025-08,0,0,2,0,0,0,1,1,0,0,4
hyperledger-iroha/iroha-rfcs,2025-09,3,3,0,0,0,0,0,0,0,0,6
hyperledger/iroha-news,2024-05,2,1,0,0,0,0,0,0,0,0,3
